ItemCode,ItemName,Category,BranchCode,BranchName,SellingQuantity,CostPrice,SalePrice,Profit,SaleDate,CreatedDateTime,PromotionApplied,StockAvailable,PreviousMonthSales,Year,Month,Quarter,DayOfWeek,IsWeekend,IsWinter
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,108,4.85,8.85,432.0,2023-08-01,2023-08-01T09:00:00,0,121,110,2023,8,3,1,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,59,4.0,7.5,206.5,2023-09-01,2023-09-01T09:00:00,0,73,60,2023,9,3,4,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,74,4.1,7.6,259.0,2023-09-01,2023-09-01T09:00:00,0,87,75,2023,9,3,4,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,96,4.75,8.75,384.0,2023-09-01,2023-09-01T09:00:00,0,110,93,2023,9,3,4,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,111,4.85,8.85,444.0,2023-09-01,2023-09-01T09:00:00,0,124,108,2023,9,3,4,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,78,4.0,7.5,273.0,2023-10-01,2023-10-01T09:00:00,1,92,59,2023,10,4,6,1,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,93,4.1,7.6,325.5,2023-10-01,2023-10-01T09:00:00,1,106,74,2023,10,4,6,1,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,120,4.75,8.75,480.0,2023-10-01,2023-10-01T09:00:00,1,134,96,2023,10,4,6,1,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,135,4.85,8.85,540.0,2023-10-01,2023-10-01T09:00:00,1,148,111,2023,10,4,6,1,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,86,4.0,7.5,301.0,2023-11-01,2023-11-01T09:00:00,1,100,78,2023,11,4,2,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,101,4.1,7.6,353.5,2023-11-01,2023-11-01T09:00:00,1,114,93,2023,11,4,2,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,130,4.75,8.75,520.0,2023-11-01,2023-11-01T09:00:00,1,144,120,2023,11,4,2,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,145,4.85,8.85,580.0,2023-11-01,2023-11-01T09:00:00,1,158,135,2023,11,4,2,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,80,4.0,7.5,280.0,2023-12-01,2023-12-01T09:00:00,0,94,86,2023,12,4,4,0,1
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,95,4.1,7.6,332.5,2023-12-01,2023-12-01T09:00:00,0,108,101,2023,12,4,4,0,1
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,124,4.75,8.75,496.0,2023-12-01,2023-12-01T09:00:00,0,138,130,2023,12,4,4,0,1
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,139,4.85,8.85,556.0,2023-12-01,2023-12-01T09:00:00,0,152,145,2023,12,4,4,0,1
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,89,4.0,7.5,311.5,2024-01-01,2024-01-01T09:00:00,0,103,80,2024,1,1,0,0,1
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,104,4.1,7.6,364.0,2024-01-01,2024-01-01T09:00:00,0,117,95,2024,1,1,0,0,1
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,131,4.75,8.75,524.0,2024-01-01,2024-01-01T09:00:00,0,145,124,2024,1,1,0,0,1
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,146,4.85,8.85,584.0,2024-01-01,2024-01-01T09:00:00,0,159,139,2024,1,1,0,0,1
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,97,4.0,7.5,339.5,2024-02-01,2024-02-01T09:00:00,0,111,89,2024,2,1,3,0,1
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,112,4.1,7.6,392.0,2024-02-01,2024-02-01T09:00:00,0,125,104,2024,2,1,3,0,1
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,134,4.75,8.75,536.0,2024-02-01,2024-02-01T09:00:00,0,148,131,2024,2,1,3,0,1
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,149,4.85,8.85,596.0,2024-02-01,2024-02-01T09:00:00,0,162,146,2024,2,1,3,0,1
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,116,4.0,7.5,406.0,2024-03-01,2024-03-01T09:00:00,1,130,97,2024,3,1,4,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,131,4.1,7.6,458.5,2024-03-01,2024-03-01T09:00:00,1,144,112,2024,3,1,4,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,149,4.75,8.75,596.0,2024-03-01,2024-03-01T09:00:00,1,163,134,2024,3,1,4,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,164,4.85,8.85,656.0,2024-03-01,2024-03-01T09:00:00,1,177,149,2024,3,1,4,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,115,4.0,7.5,402.5,2024-04-01,2024-04-01T09:00:00,1,129,116,2024,4,2,0,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,130,4.1,7.6,455.0,2024-04-01,2024-04-01T09:00:00,1,143,131,2024,4,2,0,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,143,4.75,8.75,572.0,2024-04-01,2024-04-01T09:00:00,1,157,149,2024,4,2,0,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,158,4.85,8.85,632.0,2024-04-01,2024-04-01T09:00:00,1,171,164,2024,4,2,0,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,93,4.0,7.5,325.5,2024-05-01,2024-05-01T09:00:00,0,107,115,2024,5,2,2,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,108,4.1,7.6,378.0,2024-05-01,2024-05-01T09:00:00,0,121,130,2024,5,2,2,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,119,4.75,8.75,476.0,2024-05-01,2024-05-01T09:00:00,0,133,143,2024,5,2,2,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,134,4.85,8.85,536.0,2024-05-01,2024-05-01T09:00:00,0,147,158,2024,5,2,2,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,84,4.0,7.5,294.0,2024-06-01,2024-06-01T09:00:00,0,98,93,2024,6,2,5,1,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,99,4.1,7.6,346.5,2024-06-01,2024-06-01T09:00:00,0,112,108,2024,6,2,5,1,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,110,4.75,8.75,440.0,2024-06-01,2024-06-01T09:00:00,0,124,119,2024,6,2,5,1,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,125,4.85,8.85,500.0,2024-06-01,2024-06-01T09:00:00,0,138,134,2024,6,2,5,1,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,76,4.0,7.5,266.0,2024-07-01,2024-07-01T09:00:00,0,90,84,2024,7,3,0,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,91,4.1,7.6,318.5,2024-07-01,2024-07-01T09:00:00,0,104,99,2024,7,3,0,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,104,4.75,8.75,416.0,2024-07-01,2024-07-01T09:00:00,0,118,110,2024,7,3,0,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,119,4.85,8.85,476.0,2024-07-01,2024-07-01T09:00:00,0,132,125,2024,7,3,0,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,86,4.0,7.5,301.0,2024-08-01,2024-08-01T09:00:00,1,100,76,2024,8,3,3,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,101,4.1,7.6,353.5,2024-08-01,2024-08-01T09:00:00,1,114,91,2024,8,3,3,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,119,4.75,8.75,476.0,2024-08-01,2024-08-01T09:00:00,1,133,104,2024,8,3,3,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,134,4.85,8.85,536.0,2024-08-01,2024-08-01T09:00:00,1,147,119,2024,8,3,3,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,85,4.0,7.5,297.5,2024-09-01,2024-09-01T09:00:00,1,99,86,2024,9,3,6,1,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,100,4.1,7.6,350.0,2024-09-01,2024-09-01T09:00:00,1,113,101,2024,9,3,6,1,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,122,4.75,8.75,488.0,2024-09-01,2024-09-01T09:00:00,1,136,119,2024,9,3,6,1,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,137,4.85,8.85,548.0,2024-09-01,2024-09-01T09:00:00,1,150,134,2024,9,3,6,1,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,72,4.0,7.5,252.0,2024-10-01,2024-10-01T09:00:00,0,86,85,2024,10,4,1,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,87,4.1,7.6,304.5,2024-10-01,2024-10-01T09:00:00,0,100,100,2024,10,4,1,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,114,4.75,8.75,456.0,2024-10-01,2024-10-01T09:00:00,0,128,122,2024,10,4,1,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,129,4.85,8.85,516.0,2024-10-01,2024-10-01T09:00:00,0,142,137,2024,10,4,1,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,79,4.0,7.5,276.5,2024-11-01,2024-11-01T09:00:00,0,93,72,2024,11,4,4,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,94,4.1,7.6,329.0,2024-11-01,2024-11-01T09:00:00,0,107,87,2024,11,4,4,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,123,4.75,8.75,492.0,2024-11-01,2024-11-01T09:00:00,0,137,114,2024,11,4,4,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,138,4.85,8.85,552.0,2024-11-01,2024-11-01T09:00:00,0,151,129,2024,11,4,4,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,89,4.0,7.5,311.5,2024-12-01,2024-12-01T09:00:00,0,103,79,2024,12,4,6,1,1
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,104,4.1,7.6,364.0,2024-12-01,2024-12-01T09:00:00,0,117,94,2024,12,4,6,1,1
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,133,4.75,8.75,532.0,2024-12-01,2024-12-01T09:00:00,0,147,123,2024,12,4,6,1,1
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,148,4.85,8.85,592.0,2024-12-01,2024-12-01T09:00:00,0,161,138,2024,12,4,6,1,1
